session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected,anomaly_score,anomaly,status,risk_score,severity
SID_00054,622,TCP,6,106.8587436466122,Unknown,0.3298889701600508,1,Firefox,1,1,-0.004641636534691962,-1,Anomaly,46.72,Medium
SID_00055,706,TCP,4,2107.19716665885,DES,0.4658562587345757,2,Edge,1,0,-0.0205659291978173,-1,Anomaly,51.81,High
SID_00056,686,TCP,3,568.5288982396605,DES,0.6136432536281438,1,Firefox,0,1,0.06475906928060815,1,Normal,24.53,Low
SID_00057,332,TCP,2,808.6446595055914,AES,0.1742454820703902,2,Chrome,0,0,0.10446928139163797,1,Normal,11.84,Low
SID_00058,438,TCP,4,415.7067630688467,DES,0.2172346369333444,1,Chrome,0,0,0.13581275560146056,1,Normal,1.82,Low
SID_00059,566,UDP,5,830.483464807917,DES,0.6028501934467423,1,Firefox,0,1,0.07633063859208289,1,Normal,20.83,Low
SID_00060,695,UDP,1,989.8897960942786,AES,0.259418552130799,2,Edge,0,1,0.06096010341382718,1,Normal,25.75,Medium
SID_00061,404,TCP,9,1622.860870864447,DES,0.2356755502429507,2,Chrome,0,1,0.031805178050685834,1,Normal,35.07,Medium
SID_00062,462,TCP,5,1541.3967703070944,AES,0.0400191829191788,2,Chrome,0,0,0.07080607048894133,1,Normal,22.6,Low
SID_00063,278,TCP,8,354.30271017360786,AES,0.5116026457176248,2,Edge,0,1,0.05265462743335281,1,Normal,28.4,Medium
SID_00064,260,UDP,6,765.3837210156122,AES,0.5402342873210285,1,Chrome,0,0,0.07112551144175322,1,Normal,22.5,Low
SID_00065,662,TCP,3,1213.40421214117,Unknown,0.4544121864022344,1,Safari,0,0,0.09687406279067295,1,Normal,14.27,Low
SID_00066,771,ICMP,6,1158.071232246108,Unknown,0.1357785048218817,2,Chrome,1,0,-0.03542374832876316,-1,Anomaly,56.56,High
SID_00067,485,TCP,5,1772.622948174797,Unknown,0.4362987418285402,2,Chrome,0,0,0.09998812763101655,1,Normal,13.27,Low
SID_00068,700,TCP,6,1426.7642254528307,DES,0.1997666308396278,4,Chrome,0,1,-0.015536561155254036,-1,Anomaly,50.2,High
SID_00069,572,TCP,10,1012.2699508672414,DES,0.1644573479924417,1,Chrome,0,1,0.03900101831304248,1,Normal,32.77,Medium
SID_00070,370,TCP,1,1105.3806022240433,AES,0.4086537168997098,2,Chrome,0,1,0.07843580300841901,1,Normal,20.16,Low
SID_00071,572,TCP,6,1317.8935947961731,AES,0.2053917876576297,0,Edge,0,0,0.05455037381830424,1,Normal,27.8,Medium
SID_00072,807,TCP,3,1455.576779684165,AES,0.6271547548524079,0,Unknown,0,1,-0.02049126867407891,-1,Anomaly,51.79,High
SID_00073,492,TCP,4,347.91805418370086,AES,0.2638643281334985,1,Edge,0,1,0.14150538946374935,1,Normal,0.0,Low
SID_00074,812,UDP,7,1217.9139195544108,DES,0.651720998102494,2,Chrome,0,1,-0.007729861604021004,-1,Anomaly,47.71,Medium
SID_00075,64,TCP,6,2384.0286686884297,Unknown,0.5125115429611737,1,Chrome,0,0,-0.011490111057847807,-1,Anomaly,48.91,Medium
SID_00076,664,TCP,3,212.17659606312992,Unknown,0.1055602857207033,0,Chrome,0,0,0.05472375435541177,1,Normal,27.74,Medium
SID_00077,517,TCP,5,39.54966375410118,DES,0.3360337531065149,1,Edge,0,1,0.11600110540191627,1,Normal,8.15,Low
SID_00078,440,UDP,5,60.12054049063278,DES,0.3466523484514337,1,Chrome,0,0,0.12542097535638946,1,Normal,5.14,Low
SID_00079,518,UDP,7,195.4101798830058,AES,0.4472088363848736,0,Chrome,0,1,0.06226298035972355,1,Normal,25.33,Medium
SID_00080,102,TCP,3,2018.4893233966325,Unknown,0.208078319662466,2,Edge,0,0,0.020946114421355966,1,Normal,38.54,Medium
SID_00081,456,TCP,5,108.46893562306865,DES,0.1097625098489018,2,Firefox,0,0,0.10604857385107047,1,Normal,11.33,Low
SID_00082,571,TCP,5,1101.401768015545,DES,0.4818222137601502,2,Chrome,1,0,0.007264307428428207,1,Normal,42.91,Medium
SID_00083,795,TCP,6,1614.1886098890527,AES,0.1796520284230282,2,Chrome,0,1,0.06339659561727834,1,Normal,24.97,Low
SID_00084,396,TCP,6,1679.8526967503185,Unknown,0.6107440107285588,0,Chrome,0,1,0.0007902432237651968,1,Normal,44.98,Medium
SID_00085,338,UDP,2,431.3095534963739,AES,0.3254855696413191,1,Edge,0,0,0.12755074678449152,1,Normal,4.46,Low
SID_00086,399,TCP,3,546.9722169261106,Unknown,0.5954335496002904,0,Chrome,0,0,0.04357223487383205,1,Normal,31.31,Medium
SID_00087,683,TCP,5,312.3613276488573,AES,0.3415719127620866,3,Firefox,0,1,0.07520869835320465,1,Normal,21.19,Low
SID_00088,565,TCP,8,127.51964209032084,AES,0.1981503877084024,2,Chrome,1,1,-0.03994428795825866,-1,Anomaly,58.0,High
SID_00089,394,UDP,4,190.7796533194509,AES,0.3840149947090269,1,Chrome,0,1,0.13360882981764172,1,Normal,2.52,Low
SID_00090,602,TCP,4,115.82192978072582,AES,0.2826995354274423,1,Chrome,1,1,0.01857275868389663,1,Normal,39.3,Medium
SID_00091,519,TCP,3,418.7535920670476,AES,0.5074718561537545,2,Firefox,1,0,0.013365756460909317,1,Normal,40.96,Medium
SID_00092,693,TCP,4,149.39682434919536,DES,0.7465329921047918,2,Edge,0,1,0.033688486417804364,1,Normal,34.47,Medium
SID_00093,359,TCP,4,413.2077481798984,AES,0.3961354801328169,3,Chrome,0,1,0.09093041653053918,1,Normal,16.17,Low
SID_00094,434,UDP,7,1524.0632797670812,DES,0.2653750876483886,0,Firefox,0,1,0.03609241233219773,1,Normal,33.7,Medium
SID_00095,421,TCP,7,850.2462962444683,DES,0.7363071667506592,3,Safari,0,1,-0.022486424135881644,-1,Anomaly,52.42,High
SID_00096,207,UDP,4,869.5488497403968,AES,0.1801952291959206,3,Firefox,0,1,0.05466307622168093,1,Normal,27.76,Medium
SID_00097,559,TCP,3,1336.4809719223258,AES,0.2804595050221319,1,Safari,0,0,0.11212534153382292,1,Normal,9.39,Low
SID_00098,552,TCP,2,33.65280380665794,AES,0.3119724983066272,0,Firefox,0,0,0.0559695901545581,1,Normal,27.34,Medium
SID_00099,501,UDP,3,1265.8898099183805,AES,0.359586097716788,2,Firefox,0,0,0.11568089370309775,1,Normal,8.26,Low
SID_00100,453,TCP,5,174.87198977443362,AES,0.4396989559319573,2,Firefox,0,0,0.12222183104030565,1,Normal,6.16,Low
SID_00101,216,TCP,6,339.6289336863756,AES,0.792908723614886,0,Edge,0,1,-0.038468883504218954,-1,Anomaly,57.53,High
SID_00102,415,TCP,2,294.5849672223419,AES,0.2046812710873537,3,Chrome,0,1,0.08460714064191377,1,Normal,18.19,Low
SID_00103,431,TCP,2,89.33142787527953,AES,0.0213026825741628,2,Firefox,0,0,0.06714846533855251,1,Normal,23.77,Low
SID_00104,339,TCP,3,152.6475054745366,DES,0.40868098195241,2,Firefox,0,0,0.11452240975337163,1,Normal,8.63,Low
SID_00105,467,ICMP,1,2505.1902247693133,AES,0.2099886202093015,2,Chrome,0,0,0.026144850281654086,1,Normal,36.88,Medium
SID_00106,580,ICMP,3,733.5772844904812,DES,0.2422452498276949,2,Chrome,0,0,0.11838124988630205,1,Normal,7.39,Low
SID_00107,877,TCP,4,513.9203055468032,Unknown,0.1815156636532834,0,Edge,0,1,0.021468088863875523,1,Normal,38.37,Medium
SID_00108,534,TCP,4,1134.3759248662836,Unknown,0.6356549060949741,2,Chrome,0,1,0.06776584860869617,1,Normal,23.57,Low
SID_00109,551,TCP,5,1344.486704150752,DES,0.2153356389185488,0,Firefox,0,0,0.06471899888451133,1,Normal,24.55,Low
SID_00110,485,TCP,6,93.46336107579046,DES,0.4063312275073519,2,Chrome,0,0,0.1143433148692069,1,Normal,8.68,Low
SID_00111,116,TCP,4,1080.449674152331,AES,0.4623687098674023,0,Edge,0,0,-0.005380528267281637,-1,Anomaly,46.96,Medium
SID_00112,494,TCP,6,2155.276873158772,AES,0.4082261331463432,1,Firefox,0,0,0.08293983501786878,1,Normal,18.72,Low
SID_00113,512,TCP,6,704.422488537655,DES,0.2212732586710722,1,Chrome,1,0,0.02034090126152943,1,Normal,38.73,Medium
SID_00114,992,TCP,2,761.8596818225025,DES,0.0425389889151891,1,Firefox,0,0,-0.009737068685437889,-1,Anomaly,48.35,Medium
SID_00115,461,TCP,3,1634.686997948409,DES,0.0902244146247547,1,Edge,0,1,0.08883499193865063,1,Normal,16.84,Low
SID_00116,560,TCP,5,910.2548697823172,DES,0.293848130472684,2,Chrome,0,0,0.12142814213835573,1,Normal,6.42,Low
SID_00117,493,UDP,1,4282.643311411911,DES,0.4271570441204733,1,Unknown,0,0,-0.03753903788210744,-1,Anomaly,57.24,High
SID_00118,266,TCP,5,265.80179500946144,Unknown,0.3106996126499128,2,Safari,1,1,0.005267108591476499,1,Normal,43.55,Medium
SID_00119,728,TCP,9,1493.9483851057782,DES,0.3440707492302625,0,Chrome,0,1,-0.018741037637699964,-1,Anomaly,51.23,High
SID_00120,650,TCP,9,758.2441511370571,Unknown,0.3970540586315398,1,Chrome,1,1,-0.050278203569862456,-1,Anomaly,61.31,High
SID_00121,658,TCP,3,364.2314264843896,DES,0.4228182535278166,1,Chrome,0,0,0.12123882954706422,1,Normal,6.48,Low
SID_00122,318,TCP,2,1716.8731834652806,DES,0.1735475969680256,1,Edge,0,0,0.07958531995140111,1,Normal,19.79,Low
SID_00123,780,TCP,5,4468.001253098631,Unknown,0.5133769785913413,1,Chrome,0,0,-0.018701390443450427,-1,Anomaly,51.21,High
SID_00124,219,ICMP,4,47.6720891871051,DES,0.0839245230551094,3,Firefox,1,1,-0.06471495281209971,-1,Anomaly,65.92,High
SID_00125,617,TCP,5,2077.8093270932563,AES,0.756641279217048,1,Firefox,0,1,-0.0014529654930758307,-1,Anomaly,45.7,Medium
SID_00126,938,TCP,5,181.63190836745449,AES,0.3289525285764282,2,Firefox,0,0,0.049898866828950283,1,Normal,29.28,Medium
SID_00127,301,TCP,6,183.7197582739341,AES,0.2639313835435253,2,Firefox,0,0,0.10674136133431567,1,Normal,11.11,Low
SID_00128,386,ICMP,1,34.12234567916193,Unknown,0.2923132031445906,1,Chrome,1,0,-0.015505959336551633,-1,Anomaly,50.19,High
SID_00129,519,UDP,8,2042.7649588398008,AES,0.2337753258585817,3,Chrome,0,1,0.006844182051039649,1,Normal,43.05,Medium
SID_00130,399,UDP,6,1139.689059842402,AES,0.7173627311559833,1,Chrome,0,1,0.02953431868701234,1,Normal,35.79,Medium
SID_00131,189,TCP,1,43.94449986840703,AES,0.324800802082674,2,Chrome,0,0,0.04493365450205328,1,Normal,30.87,Medium
SID_00132,513,ICMP,3,803.0822652641986,AES,0.1453538307828547,0,Chrome,1,0,-0.032401758709798445,-1,Anomaly,55.59,High
SID_00133,287,TCP,6,102.38892419769635,Unknown,0.0638388079990007,1,Chrome,0,1,0.06814524798165805,1,Normal,23.45,Low
SID_00134,594,TCP,9,1113.5448828433073,AES,0.2015363761915499,1,Firefox,0,1,0.044745907367623905,1,Normal,30.93,Medium
SID_00135,316,UDP,3,420.8242964449342,DES,0.1010497118158562,0,Chrome,0,1,0.05613592560738623,1,Normal,27.29,Medium
SID_00136,809,UDP,4,42.53231749395693,AES,0.1840217502247818,1,Unknown,0,1,0.07901312891051299,1,Normal,19.98,Low
SID_00137,343,TCP,5,1414.7818469631654,AES,0.1099788946865137,3,Edge,1,1,-0.05721689888341164,-1,Anomaly,63.53,High
SID_00138,435,TCP,4,679.6785160847335,AES,0.251661490626902,3,Safari,0,1,0.09828410277042154,1,Normal,13.82,Low
SID_00139,662,TCP,1,1185.7797753569248,AES,0.506076780728524,2,Chrome,0,0,0.04422629973047065,1,Normal,31.1,Medium
SID_00140,253,TCP,1,897.9900818952359,DES,0.2380386819236216,4,Unknown,0,1,-0.028927578646296692,-1,Anomaly,54.48,High
SID_00141,545,TCP,4,455.88912093711633,AES,0.2624537715319337,3,Unknown,0,1,0.09603725118173517,1,Normal,14.53,Low
SID_00142,761,ICMP,1,959.6300158997273,AES,0.1775413015405739,2,Chrome,0,0,0.05271760467620501,1,Normal,28.38,Medium
SID_00143,178,TCP,3,11.890700511572373,AES,0.2863406889126293,1,Edge,1,0,-0.019419644320802454,-1,Anomaly,51.44,High
SID_00144,536,UDP,3,332.0943080741142,DES,0.7033341839914414,0,Firefox,0,1,0.0132350366713061,1,Normal,41.0,Medium
SID_00145,551,UDP,3,1203.5341894452372,DES,0.1178914973329318,2,Chrome,0,0,0.09699421646452178,1,Normal,14.23,Low
SID_00146,656,TCP,5,1151.9651057221577,AES,0.3452066461644786,1,Chrome,0,0,0.1151574157528713,1,Normal,8.42,Low
SID_00147,252,UDP,4,1747.1974055008438,AES,0.3064959364798829,0,Firefox,0,1,0.010812147845135178,1,Normal,41.78,Medium
SID_00148,235,TCP,3,755.434368901311,AES,0.2509659861114192,3,Chrome,0,1,0.06549175737559398,1,Normal,24.3,Low
SID_00149,604,TCP,3,2280.568942195515,Unknown,0.8039075882980276,0,Chrome,0,1,-0.059463268122621704,-1,Anomaly,64.24,High
SID_00150,559,TCP,3,652.6355940282597,AES,0.1325266852429517,2,Chrome,0,0,0.1024940755989156,1,Normal,12.47,Low
SID_00151,550,TCP,1,555.2444851752033,Unknown,0.3650417976497674,2,Chrome,0,0,0.0888872704889217,1,Normal,16.82,Low
SID_00152,569,UDP,7,175.73628085127916,Unknown,0.51671417169513,1,Chrome,1,1,-0.03815335347289284,-1,Anomaly,57.43,High
SID_00153,363,ICMP,6,1207.0821332288124,AES,0.3510400422582782,2,Chrome,0,0,0.1074573851270279,1,Normal,10.88,Low
SID_00154,546,TCP,5,942.2728647931104,AES,0.3436559596851325,1,Chrome,0,0,0.12162203451278042,1,Normal,6.36,Low
SID_00155,558,UDP,9,494.07664627087496,DES,0.3144316341041462,2,Safari,0,1,0.043550080769805655,1,Normal,31.31,Medium
SID_00156,357,TCP,9,72.91081297639256,DES,0.1995373166844637,2,Edge,0,1,0.04707309659725262,1,Normal,30.19,Medium
SID_00157,873,UDP,3,107.46754869926538,DES,0.0512262805867224,2,Chrome,0,0,0.028661632381498103,1,Normal,36.07,Medium
SID_00158,594,TCP,3,97.24720087836856,AES,0.4076859456226729,4,Chrome,0,1,0.00709811293755791,1,Normal,42.97,Medium
SID_00159,261,TCP,10,376.7703857763132,Unknown,0.2406992996769797,1,Safari,0,1,0.033491039148574486,1,Normal,34.53,Medium
SID_00160,631,TCP,6,138.5095628371252,AES,0.100603632546575,1,Chrome,0,0,0.08977573195674238,1,Normal,16.54,Low
SID_00161,305,TCP,6,1577.7168112486886,AES,0.346916590070728,1,Edge,0,0,0.08774056667995717,1,Normal,17.19,Low
SID_00162,657,TCP,6,1836.854066404744,Unknown,0.147279396713671,3,Chrome,0,1,0.03842458097062007,1,Normal,32.95,Medium
SID_00163,731,UDP,5,1554.6376149090595,DES,0.2549226275413593,2,Firefox,0,1,0.09490897045619379,1,Normal,14.9,Low
SID_00164,335,TCP,3,750.9414290852901,DES,0.12309678522027,3,Chrome,0,1,0.0672173159119272,1,Normal,23.75,Low
SID_00165,692,UDP,7,725.7763899065397,Unknown,0.5231976202835485,2,Chrome,0,1,0.06303976452457566,1,Normal,25.08,Medium
SID_00166,582,UDP,5,1772.5689478516597,AES,0.2328323308098431,1,Chrome,0,0,0.09445622189927,1,Normal,15.04,Low
SID_00167,664,TCP,8,417.1159065866958,AES,0.3710642290728093,2,Edge,0,1,0.06693190534937421,1,Normal,23.84,Low
SID_00168,879,TCP,5,51.49798031536433,Unknown,0.1010016631229617,0,Firefox,0,1,-0.019810323132872454,-1,Anomaly,51.57,High
SID_00169,450,UDP,1,508.49628287021335,AES,0.2577704856444119,2,Chrome,0,0,0.0939034456180266,1,Normal,15.22,Low
SID_00170,349,TCP,8,645.4298805334846,AES,0.242800051494813,1,Chrome,0,1,0.07726586395086449,1,Normal,20.54,Low
SID_00171,322,TCP,1,637.8327848930265,AES,0.1999112691064991,1,Chrome,0,0,0.08580919174700097,1,Normal,17.8,Low
SID_00172,336,TCP,2,138.5347758456176,Unknown,0.1171155765443611,2,Chrome,0,1,0.09882971203344282,1,Normal,13.64,Low
SID_00173,484,TCP,5,1223.8102732316374,AES,0.3957542090094353,1,Chrome,1,1,0.01664337052186937,1,Normal,39.91,Medium
SID_00174,568,ICMP,5,1053.3158665799629,DES,0.1891346709377445,2,Edge,0,1,0.1108737612838197,1,Normal,9.79,Low
SID_00175,555,TCP,5,208.93902977348893,AES,0.551708412894967,1,Chrome,0,0,0.09163428696664283,1,Normal,15.94,Low
SID_00176,665,TCP,6,640.9945335485618,DES,0.5003713391880107,3,Firefox,0,1,0.0478092218206857,1,Normal,29.95,Medium
SID_00177,502,TCP,12,1249.7694954987144,DES,0.2982140196718431,1,Firefox,0,1,0.030890301325769753,1,Normal,35.36,Medium
SID_00178,790,UDP,4,6.171441467446689,DES,0.1969726328712207,2,Firefox,0,1,0.07920463319222176,1,Normal,19.92,Low
SID_00179,447,UDP,3,257.4377388281377,AES,0.0676815431149165,0,Firefox,1,0,-0.060622468422689035,-1,Anomaly,64.61,High
SID_00180,1044,TCP,4,510.9845736621589,AES,0.5004393941360112,2,Edge,0,0,0.00582350137061205,1,Normal,43.37,Medium
SID_00181,625,TCP,1,1491.6272442087734,AES,0.2292396077650228,3,Chrome,0,1,0.028422672950068617,1,Normal,36.15,Medium
SID_00182,328,TCP,4,1283.4300381717148,Unknown,0.2790877310772736,2,Chrome,0,0,0.11295884050420368,1,Normal,9.13,Low
SID_00183,285,TCP,7,130.94982959554818,DES,0.2546566696903113,2,Chrome,1,1,-0.019858454673960413,-1,Anomaly,51.58,High
SID_00184,596,TCP,2,497.02132412144806,AES,0.1179179164359383,2,Chrome,0,0,0.09506415275296354,1,Normal,14.85,Low
SID_00185,455,ICMP,2,290.6566794998655,Unknown,0.4049464294212396,2,Firefox,0,0,0.11857108648601855,1,Normal,7.33,Low
SID_00186,642,TCP,1,410.5743325044247,Unknown,0.2535139501498699,2,Chrome,0,0,0.08405658287931383,1,Normal,18.36,Low
SID_00187,594,TCP,4,622.3103994578047,AES,0.8110277884368354,2,Chrome,0,1,0.023780018934624392,1,Normal,37.63,Medium
SID_00188,485,UDP,4,553.4633422524302,DES,0.0914983771525435,2,Chrome,0,0,0.11033600312035718,1,Normal,9.96,Low
SID_00189,330,TCP,2,122.12443528436629,AES,0.5509077290494483,0,Edge,0,0,0.04023429911437937,1,Normal,32.37,Medium
SID_00190,197,TCP,7,103.8028280833901,AES,0.444103086563627,2,Edge,0,1,0.0558964717913949,1,Normal,27.37,Medium
SID_00191,410,TCP,5,111.65696274923886,AES,0.3910043614883334,1,Edge,0,0,0.12311995366438333,1,Normal,5.88,Low
SID_00192,671,TCP,4,1472.5326581431882,DES,0.1093543451809174,3,Unknown,0,1,0.042690044673609207,1,Normal,31.59,Medium
SID_00193,542,UDP,5,16.10939607653426,AES,0.3107330737649837,1,Firefox,1,0,0.0055548446618824965,1,Normal,43.46,Medium
SID_00194,250,TCP,4,180.92309581506888,AES,0.1752762514727518,1,Chrome,0,0,0.10614508995050909,1,Normal,11.3,Low
SID_00195,534,TCP,7,2496.887261332685,DES,0.2451322964747888,1,Chrome,0,1,0.04266745840655828,1,Normal,31.6,Medium
SID_00196,577,TCP,5,54.64134538770197,Unknown,0.2994484351708427,1,Edge,0,0,0.1152335969379138,1,Normal,8.4,Low
SID_00197,323,UDP,5,29.59799365313628,DES,0.2776327619502889,1,Chrome,0,0,0.11136201606722523,1,Normal,9.64,Low
SID_00198,530,TCP,5,391.9421775186524,DES,0.3016053857217878,2,Firefox,0,0,0.12573307256095445,1,Normal,5.04,Low
SID_00199,511,TCP,2,131.1458838080163,AES,0.1389147899939635,2,Chrome,0,0,0.10620252527557367,1,Normal,11.29,Low
SID_00200,271,ICMP,3,667.3328621639511,DES,0.0863630197646222,3,Chrome,0,1,0.054581314299674055,1,Normal,27.79,Medium
SID_00201,571,TCP,5,330.69417239531657,DES,0.0989605835813575,0,Firefox,0,0,0.06047401883189035,1,Normal,25.9,Medium
SID_00202,612,UDP,3,187.5349141621204,DES,0.5341956729663283,2,Safari,0,0,0.10075204430195933,1,Normal,13.03,Low
